Tree_Name	assembly	pep	cds	gff	gtf
Metschnikowia_noctiluminum	yHMPu5000041814_metschnikowia_noctiluminum_180604.haplomerger2.fas	yHMPu5000041814_metschnikowia_noctiluminum_180604.haplomerger2.final.pep	yHMPu5000041814_metschnikowia_noctiluminum_180604.haplomerger2.final.cds	yHMPu5000041814_metschnikowia_noctiluminum_180604.haplomerger2.final.gff3	yHMPu5000041814_metschnikowia_noctiluminum_180604.haplomerger2.final.gtf
Metschnikowia_orientalis	yHMPu5000041815_metschnikowia_orientalis_190924.fas	yHMPu5000041815_metschnikowia_orientalis_190924.final.pep	yHMPu5000041815_metschnikowia_orientalis_190924.final.cds	yHMPu5000041815_metschnikowia_orientalis_190924.final.gff3	yHMPu5000041815_metschnikowia_orientalis_190924.final.gtf
Metschnikowia_peoriensis	yHMPu5000037202_metschnikowia_peoriensis_210210.fas	yHMPu5000037202_metschnikowia_peoriensis_210210.final.pep	yHMPu5000037202_metschnikowia_peoriensis_210210.final.cds	yHMPu5000037202_metschnikowia_peoriensis_210210.final.gff3	yHMPu5000037202_metschnikowia_peoriensis_210210.final.gtf
Metschnikowia_picachoensis	yHMPu5000037891_candida_picachoensis_170210.haplomerger2.fas	yHMPu5000037891_candida_picachoensis_170210.haplomerger2.final.pep	yHMPu5000037891_candida_picachoensis_170210.haplomerger2.final.cds	yHMPu5000037891_candida_picachoensis_170210.haplomerger2.final.gff3	yHMPu5000037891_candida_picachoensis_170210.haplomerger2.final.gtf
Metschnikowia_pimensis	yHMPu5000037890_candida_pimensis_180604.haplomerger2.fas	yHMPu5000037890_candida_pimensis_180604.haplomerger2.final.pep	yHMPu5000037890_candida_pimensis_180604.haplomerger2.final.cds	yHMPu5000037890_candida_pimensis_180604.haplomerger2.final.gff3	yHMPu5000037890_candida_pimensis_180604.haplomerger2.final.gtf
Metschnikowia_proteae	yHMPu5000040937_metschnikowia_proteae_201018.fas	yHMPu5000040937_metschnikowia_proteae_201018.final.pep	yHMPu5000040937_metschnikowia_proteae_201018.final.cds	yHMPu5000040937_metschnikowia_proteae_201018.final.gff3	yHMPu5000040937_metschnikowia_proteae_201018.final.gtf
Metschnikowia_pulcherrima	yHMPu5000041732_metschnikowia_pulcherrima_190924.haplomerger2.fas	yHMPu5000041732_metschnikowia_pulcherrima_190924.haplomerger2.final.pep	yHMPu5000041732_metschnikowia_pulcherrima_190924.haplomerger2.final.cds	yHMPu5000041732_metschnikowia_pulcherrima_190924.haplomerger2.final.gff3	yHMPu5000041732_metschnikowia_pulcherrima_190924.haplomerger2.final.gtf
Metschnikowia_reukaufii	yHMPu5000037865_metschnikowia_reukaufii_180604.haplomerger2.fas	yHMPu5000037865_metschnikowia_reukaufii_180604.haplomerger2.final.pep	yHMPu5000037865_metschnikowia_reukaufii_180604.haplomerger2.final.cds	yHMPu5000037865_metschnikowia_reukaufii_180604.haplomerger2.final.gff3	yHMPu5000037865_metschnikowia_reukaufii_180604.haplomerger2.final.gtf
Metschnikowia_rubicola	yHMPu5000037201_metschnikowia_rubicola_210210.fas	yHMPu5000037201_metschnikowia_rubicola_210210.final.pep	yHMPu5000037201_metschnikowia_rubicola_210210.final.cds	yHMPu5000037201_metschnikowia_rubicola_210210.final.gff3	yHMPu5000037201_metschnikowia_rubicola_210210.final.gtf
Metschnikowia_saccharicola	yHMPu5000038332_metschnikowia_saccharicola_201018.fas	yHMPu5000038332_metschnikowia_saccharicola_201018.final.pep	yHMPu5000038332_metschnikowia_saccharicola_201018.final.cds	yHMPu5000038332_metschnikowia_saccharicola_201018.final.gff3	yHMPu5000038332_metschnikowia_saccharicola_201018.final.gtf
Metschnikowia_santaceciliae	metschnikowia_santaceciliae.fas	metschnikowia_santaceciliae.final.pep	metschnikowia_santaceciliae.final.cds	metschnikowia_santaceciliae.final.gff3	metschnikowia_santaceciliae.final.gtf
