assembly_fullID_updated	Tip_ID	assembly_fullID_updated_kegg	assembly_fullID_updated_OG	Tip_ID_v2	FINAL_Tip_ID	DanaKegg
yHMPu5000034949_ambrosiozyma_neoplatypodis_170713.haplomerger2	Ambrosiozyma_neoplatypodis_CBS10900	yHMPu5000034949_ambrosiozyma_neoplatypodis_170713	yHMPu5000034949_ambrosiozyma_neoplatypodis_170713.haplomerger2	Ambrosiozyma_neoplatypodis	Ambrosiozyma_neoplatypodis	yHMPu5000034949_ambrosiozyma_neoplatypodis_170713
yHMPu5000034950_citeromyces_hawaiiensis_170307.haplomerger2	Citeromyces_hawaiiensis_CBS12303	yHMPu5000034950_citeromyces_hawaiiensis_170307	yHMPu5000034950_citeromyces_hawaiiensis_170307.haplomerger2	Citeromyces_hawaiiensis	Citeromyces_hawaiiensis	yHMPu5000034950_citeromyces_hawaiiensis_170307
yHMPu5000034953_komagataella_pastoris_160519	Komagataella_pastoris_CBS704	yHMPu5000034953_komagataella_pastoris_160519	yHMPu5000034953_komagataella_pastoris_160519	Komagataella_pastoris_NRRL_Y-1603	Komagataella_pastoris_NRRL_Y-1603	yHMPu5000034953_komagataella_pastoris_160519
yHMPu5000034954_candida_norvegica_201018	Candida_norvegica_CBS4239	yHMPu5000034954_candida_norvegica_201018	yHMPu5000034954_candida_norvegica_201018	Candida_norvegica	Candida_norvegica	yHMPu5000034954_candida_norvegica_201018
yHMPu5000034955_hanseniaspora_valbyensis_201018.haplomerger2	Hanseniaspora_valbyensis_CBS479	yHMPu5000034955_hanseniaspora_valbyensis_201018	yHMPu5000034955_hanseniaspora_valbyensis_201018.haplomerger2	Hanseniaspora_valbyensis	Hanseniaspora_valbyensis	yHMPu5000034955_hanseniaspora_valbyensis_201018
yHMPu5000034956_hanseniaspora_uvarum_170307	Hanseniaspora_uvarum_CBS314	yHMPu5000034956_hanseniaspora_uvarum_170307	yHMPu5000034956_hanseniaspora_uvarum_170307	Hanseniaspora_uvarum_NRRL_Y-1614	Hanseniaspora_uvarum_NRRL_Y-1614	yHMPu5000034956_hanseniaspora_uvarum_170307
yHMPu5000034957_Hanseniaspora_osmophila_SPADES	Hanseniaspora_osmophila_CBS313	yHMPu5000034957_Hanseniaspora_osmophila_SPADES	yHMPu5000034957_Hanseniaspora_osmophila_SPADES	Hanseniaspora_osmophila	Hanseniaspora_osmophila	yHMPu5000034957_Hanseniaspora_osmophila_SPADES
yHMPu5000034958_hanseniaspora_opuntiae_201018.haplomerger2	Hanseniaspora_opuntiae_CBS8733	yHMPu5000034958_hanseniaspora_opuntiae_201018	yHMPu5000034958_hanseniaspora_opuntiae_201018.haplomerger2	Hanseniaspora_opuntiae	Hanseniaspora_opuntiae	yHMPu5000034958_hanseniaspora_opuntiae_201018
yHMPu5000034959_hanseniaspora_occidentalis_var_occidentalis_170307	Hanseniaspora_occidentalis_var._occidentalis_CBS2592	yHMPu5000034959_hanseniaspora_occidentalis_var_occidentalis_170307	yHMPu5000034959_hanseniaspora_occidentalis_var_occidentalis_170307	Hanseniaspora_occidentalis_var._occidentalis	Hanseniaspora_occidentalis_var._occidentalis	yHMPu5000034959_hanseniaspora_occidentalis_var_occidentalis_170307
yHMPu5000034960_hanseniaspora_meyeri_190924.haplomerger2	Hanseniaspora_meyeri_CBS8734	yHMPu5000034960_hanseniaspora_meyeri_190924	yHMPu5000034960_hanseniaspora_meyeri_190924.haplomerger2	Hanseniaspora_meyeri	Hanseniaspora_meyeri	yHMPu5000034960_hanseniaspora_meyeri_190924
yHMPu5000034961_hanseniaspora_lachancei_170307.haplomerger2	Hanseniaspora_lachancei_CBS8818	yHMPu5000034961_hanseniaspora_lachancei_170307	yHMPu5000034961_hanseniaspora_lachancei_170307.haplomerger2	Hanseniaspora_lachancei	Hanseniaspora_lachancei	yHMPu5000034961_hanseniaspora_lachancei_170307
yHMPu5000034962_hanseniaspora_guilliermondii_170307	Hanseniaspora_guilliermondii_CBS465	yHMPu5000034962_hanseniaspora_guilliermondii_170307	yHMPu5000034962_hanseniaspora_guilliermondii_170307	Hanseniaspora_guilliermondii	Hanseniaspora_guilliermondii	yHMPu5000034962_hanseniaspora_guilliermondii_170307
yHMPu5000034963_hanseniaspora_clermontiae_160519.haplomerger2	Hanseniaspora_clermontiae_CBS8821	yHMPu5000034963_hanseniaspora_clermontiae_160519	yHMPu5000034963_hanseniaspora_clermontiae_160519.haplomerger2	Hanseniaspora_clermontiae	Hanseniaspora_clermontiae	yHMPu5000034963_hanseniaspora_clermontiae_160519
yHMPu5000034965_Brettanomyces_naardenensis_SPADES	Brettanomyces_naardenensis_CBS6042	yHMPu5000034965_Brettanomyces_naardenensis_SPADES	yHMPu5000034965_Brettanomyces_naardenensis_SPADES	Brettanomyces_naardenensis	Brettanomyces_naardenensis	yHMPu5000034965_Brettanomyces_naardenensis_SPADES
yHMPu5000034966_cyberlindnera_sargentensis_160519	Cyberlindnera_sargentensis_CBS6342	yHMPu5000034966_cyberlindnera_sargentensis_160519	yHMPu5000034966_cyberlindnera_sargentensis_160519	Cyberlindnera_sargentensis	Cyberlindnera_sargentensis	yHMPu5000034966_cyberlindnera_sargentensis_160519
